"user","title","appearances"
"112.199.129.182","2019–20 coronavirus pandemic",1
"112.199.199.132","2019–20 coronavirus pandemic",1
"114.44.185.133","2019–20 coronavirus pandemic",1
"116.86.246.25","2019–20 coronavirus pandemic",1
"124.217.189.28","2019–20 coronavirus pandemic",1
"142.103.143.128","2019–20 coronavirus pandemic",1
"146.198.117.179","2019–20 coronavirus pandemic",1
"152.27.20.2","2019–20 coronavirus pandemic",1
"155.101.97.37","2019–20 coronavirus pandemic",1
"162.211.109.182","2019–20 coronavirus pandemic",1
"174.85.100.143","2019–20 coronavirus pandemic",1
"176.203.56.226","2019–20 coronavirus pandemic",1
"176.72.46.60","2019–20 coronavirus pandemic",1
"182.239.85.91","2019–20 coronavirus pandemic",1
"184.16.188.210","2019–20 coronavirus pandemic",1
"184.16.214.110","2019–20 coronavirus pandemic",1
"187.237.14.242","2019–20 coronavirus pandemic",1
"193.28.36.33","2019–20 coronavirus pandemic",1
"195.200.70.46","2019–20 coronavirus pandemic",1
"199.117.106.150","2019–20 coronavirus pandemic",1
"2001:1C02:3607:7E00:C0A3:9110:53A2:4A15","2019–20 coronavirus pandemic",1
"2001:569:793B:B100:44B6:E994:1B84:41B4","2019–20 coronavirus pandemic",1
"2001:8003:4E4E:E900:436:3838:F56A:12BE","2019–20 coronavirus pandemic",1
"202.79.203.111","2019–20 coronavirus pandemic",1
"207.81.167.200","2019–20 coronavirus pandemic",1
"216.30.179.221","2019–20 coronavirus pandemic",1
"217.169.235.25","2019–20 coronavirus pandemic",1
"219.78.196.70","2019–20 coronavirus pandemic",1
"220.241.114.137","2019–20 coronavirus pandemic",1
"223.62.219.123","2019–20 coronavirus pandemic",1
"24.6.206.135","2019–20 coronavirus pandemic",1
"2402:7500:44B:5DFF:6465:50D2:8923:15F7","2019–20 coronavirus pandemic",1
"2409:4072:82:1C87:4979:BDF9:19C2:E6BD","2019–20 coronavirus pandemic",1
"2601:142:3:B110:E43C:3AD9:7B3F:95CD","2019–20 coronavirus pandemic",1
"2601:40C:8380:1720:D40C:13F6:4B12:C15D","2019–20 coronavirus pandemic",1
"2605:A000:161D:429E:38C4:B7C6:7C61:DDFE","2019–20 coronavirus pandemic",1
"2607:FEA8:1DDF:FEE1:ED71:A155:F701:A02C","2019–20 coronavirus pandemic",1
"2A01:E35:2FBF:78C0:9873:A140:ACEA:D061","2019–20 coronavirus pandemic",1
"2A02:2F01:6207:FC00:5C37:DD8A:C132:90F5","2019–20 coronavirus pandemic",1
"36.76.229.208","2019–20 coronavirus pandemic",1
"39.120.196.23","2019–20 coronavirus pandemic",1
"3PoundsOfFlax","2019–20 coronavirus pandemic",1
"49.245.64.157","2019–20 coronavirus pandemic",1
"5.173.128.124","2019–20 coronavirus pandemic",1
"61.247.39.83","2019–20 coronavirus pandemic",1
"64.134.180.88","2019–20 coronavirus pandemic",1
"66.210.78.82","2019–20 coronavirus pandemic",1
"66.220.194.16","2019–20 coronavirus pandemic",1
"68.134.239.246","2019–20 coronavirus pandemic",1
"72.139.24.98","2019–20 coronavirus pandemic",1
"77.67.86.210","2019–20 coronavirus pandemic",1
"79.72.255.137","2019–20 coronavirus pandemic",1
"81.221.223.94","2019–20 coronavirus pandemic",1
"82.21.34.90","2019–20 coronavirus pandemic",1
"82.6.101.144","2019–20 coronavirus pandemic",1
"86.3.240.212","2019–20 coronavirus pandemic",1
"89.236.62.213","2019–20 coronavirus pandemic",1
"Alexcalamaro","2019–20 coronavirus pandemic",1
"Alphama","2019–20 coronavirus pandemic",1
"AngryHarpy","2019–20 coronavirus pandemic",1
"Anonymouees","2019–20 coronavirus pandemic",1
"ApChrKey","2019–20 coronavirus pandemic",1
"AwkwrdPrtMskrt","2019–20 coronavirus pandemic",1
"Azboi","2019–20 coronavirus pandemic",1
"Bangabandhu","2019–20 coronavirus pandemic",1
"Brandmeister","2019–20 coronavirus pandemic",1
"CaibzGeek","2019–20 coronavirus pandemic",1
"CaradhrasAiguo","2019–20 coronavirus pandemic",1
"Cbs527","2019–20 coronavirus pandemic",1
"Chbe113","2019–20 coronavirus pandemic",1
"Citobun","2019–20 coronavirus pandemic",1
"ClueBot NG","2019–20 coronavirus pandemic",1
"Continentaleurope","2019–20 coronavirus pandemic",1
"CountyCountry","2019–20 coronavirus pandemic",1
"CRau080","2019–20 coronavirus pandemic",1
"Darylgolden","2019–20 coronavirus pandemic",1
"Dimadick","2019–20 coronavirus pandemic",1
"Dshubble","2019–20 coronavirus pandemic",1
"E3.akpinar","2019–20 coronavirus pandemic",1
"Editeditor2019","2019–20 coronavirus pandemic",1
"EelamStyleZ","2019–20 coronavirus pandemic",1
"Efly","2019–20 coronavirus pandemic",1
"El C","2019–20 coronavirus pandemic",1
"Eric1212","2019–20 coronavirus pandemic",1
"Every inherent nuance of the dummys prudence	38351483	83348	13dc9be20f0a34a748bce9774dc6a75d6b2f401b	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=936878544	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	936879169	2020-01-21T15:47:59Z	TheGreatSGrean","2019–20 coronavirus pandemic",1
"Every inherent nuance of the dummys prudence	38351483	83539	01d04b405fc27ccc37b87830ec885c1095496c46	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=936881156	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	936881373	2020-01-21T16:05:24Z	Every inherent nuance of the dummys prudence","2019–20 coronavirus pandemic",1
"Expertmemer","2019–20 coronavirus pandemic",1
"Farras","2019–20 coronavirus pandemic",1
"Fortunatestars","2019–20 coronavirus pandemic",1
"Foxterria","2019–20 coronavirus pandemic",1
"GerifalteDelSabana","2019–20 coronavirus pandemic",1
"Gnarlyedits","2019–20 coronavirus pandemic",1
"Graeme Bartlett","2019–20 coronavirus pandemic",1
"Heartfox","2019–20 coronavirus pandemic",1
"Heroeswithmetaphors","2019–20 coronavirus pandemic",1
"Hoising","2019–20 coronavirus pandemic",1
"Hvn0413","2019–20 coronavirus pandemic",1
"IAmNitpicking","2019–20 coronavirus pandemic",1
"Ich","2019–20 coronavirus pandemic",1
"Jamesey24","2019–20 coronavirus pandemic",1
"JaneHillervene","2019–20 coronavirus pandemic",1
"Kef274","2019–20 coronavirus pandemic",1
"Kenohori","2019–20 coronavirus pandemic",1
"Kevinwriter","2019–20 coronavirus pandemic",1
"KH-1","2019–20 coronavirus pandemic",1
"KinkyLipids","2019–20 coronavirus pandemic",1
"Kreggon","2019–20 coronavirus pandemic",1
"Kroger4","2019–20 coronavirus pandemic",1
"Levonscott","2019–20 coronavirus pandemic",1
"MadameButterflyKnife","2019–20 coronavirus pandemic",1
"MainlyTwelve","2019–20 coronavirus pandemic",1
"Marco.bs","2019–20 coronavirus pandemic",1
"MaRoFu","2019–20 coronavirus pandemic",1
"Matilda Maniac","2019–20 coronavirus pandemic",1
"Melmann","2019–20 coronavirus pandemic",1
"Moaz786","2019–20 coronavirus pandemic",1
"Mrajkarki","2019–20 coronavirus pandemic",1
"MuzafferB","2019–20 coronavirus pandemic",1
"Nick.mon","2019–20 coronavirus pandemic",1
"Nimda01","2019–20 coronavirus pandemic",1
"Nizil Shah","2019–20 coronavirus pandemic",1
"Nobuts","2019–20 coronavirus pandemic",1
"Northern Moonlight","2019–20 coronavirus pandemic",1
"Ntsimp","2019–20 coronavirus pandemic",1
"Oscar1003","2019–20 coronavirus pandemic",1
"OSSYULYYZ","2019–20 coronavirus pandemic",1
"Person who formerly started with \"216\"","2019–20 coronavirus pandemic",1
"Pharexia","2019–20 coronavirus pandemic",1
"Poklane","2019–20 coronavirus pandemic",1
"Protonchang","2019–20 coronavirus pandemic",1
"Psychonaut","2019–20 coronavirus pandemic",1
"Quest for Truth","2019–20 coronavirus pandemic",1
"Rachmat04","2019–20 coronavirus pandemic",1
"RandomAccount1235423","2019–20 coronavirus pandemic",1
"RaphaelQS","2019–20 coronavirus pandemic",1
"Red King","2019–20 coronavirus pandemic",1
"RMCD bot","2019–20 coronavirus pandemic",1
"Robertsky","2019–20 coronavirus pandemic",1
"Rumen34","2019–20 coronavirus pandemic",1
"Serols","2019–20 coronavirus pandemic",1
"Sleath56","2019–20 coronavirus pandemic",1
"Snapplepapp","2019–20 coronavirus pandemic",1
"Soupvector","2019–20 coronavirus pandemic",1
"Stephen","2019–20 coronavirus pandemic",1
"Streetsoda","2019–20 coronavirus pandemic",1
"SUM1","2019–20 coronavirus pandemic",1
"Super Peebo","2019–20 coronavirus pandemic",1
"SYSS Mouse","2019–20 coronavirus pandemic",1
"Teaperson","2019–20 coronavirus pandemic",1
"TFSA","2019–20 coronavirus pandemic",1
"TheAlderaanian","2019–20 coronavirus pandemic",1
"TheEpicGhosty","2019–20 coronavirus pandemic",1
"TheGreatSGrean	36415105	100623	f1d1e74e51013a4dc218d1c0aeccaacb3fa68348	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937010744	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937010817	2020-01-22T11:22:01Z	Tiangulu010	22669091	100623	7994b81940daa82b0e870cc5459e7f8b712f1850	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937010817	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937010883	2020-01-22T11:22:50Z	Whispyhistory	30823445	101110	763bfc7ba9bca8ec729329bbf686e285554fa6f6	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937010883	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937011040	2020-01-22T11:24:31Z	Hallooooed	35860459	101110	e837cc8d8e34d31e9974cb8cf9393d959bee112f	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937011040	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937011176	2020-01-22T11:25:57Z	Whispyhistory	30823445	100983	a1a8573e230501417f2128d6c38e72aaecde87e4	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937011176	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937011228	2020-01-22T11:26:24Z	Hallooooed	35860459	100983	b1114dd037ef5f6bea935d2d72dde2161ca84342	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937011228	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937011325	2020-01-22T11:27:36Z	Whispyhistory	30823445	101027	ccf868988de1956e44b4236f836ee16bc2e1cce8	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937011325	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937011401	2020-01-22T11:28:28Z	Hallooooed	35860459	101027	c648f6f15af3ab5c1f7e539d9a9723749edf5505	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937011401	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937011698	2020-01-22T11:31:57Z	78.98.55.59	0	101066	a7ded5b58358a06980cdbf1de8d671a668323b6c	wikitext	True	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937011698	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937012021	2020-01-22T11:35:38Z	Hallooooed	35860459	101339	36421088d25d3061e1b523e4abfcfd3f9eba1514	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937012021	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937012803	2020-01-22T11:43:59Z	Matilda Maniac	20813426	101325	3ecfc8dad63b7b651acbf0927c27b47a2a3728db	wikitext	False	True	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937012803	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937012855	2020-01-22T11:44:33Z	Matilda Maniac	20813426	101331	eac59424cda837a2ebc4a442d6902c2fec49e5d7	wikitext	False	True	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937012855	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937013061	2020-01-22T11:46:50Z	Chimken nonget	38362688	101331	0073eadf9e1543ee2dc17dccfd485a429bb344a9	wikitext	False	True	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937013061	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937013223	2020-01-22T11:48:33Z	Hallooooed	35860459	101331	ecf7d5f7dfc5fa2d5a628e698c5cbcd9b1c49b4b	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937013223	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937013270	2020-01-22T11:48:54Z	TheGreatSGrean","2019–20 coronavirus pandemic",1
"TheGreatSGrean	36415105	100780	79b13f1c23c51e2c6c8cf380167f14e0f50e4201	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937010236	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937010493	2020-01-22T11:18:55Z	TheGreatSGrean","2019–20 coronavirus pandemic",1
"TheGreatSGrean	36415105	126623	1554c2e757b0d4cfce6f1acc3a5890031263e9b1	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937183885	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937183918	2020-01-23T13:07:47Z	TheGreatSGrean","2019–20 coronavirus pandemic",1
"TheGreatSGrean	36415105	126624	8f7c6ca456e1617fb28ee7c37282db168baece8a	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937184179	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937184839	2020-01-23T13:17:17Z	47.147.1.98	0	126632	061d45e3af771596da384667b4377e6d94112769	wikitext	True	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937184839	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937184848	2020-01-23T13:17:17Z	TheGreatSGrean","2019–20 coronavirus pandemic",1
"TheGreatSGrean	36415105	127007	e529f31497ea051e2d8db87fe070f76162117361	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937184890	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937184916	2020-01-23T13:17:57Z	121.7.54.127	0	127018	36ef41ccfe4ffe69c9a9dadda7a1feb9dabfe38e	wikitext	True	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937184916	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937185328	2020-01-23T13:22:20Z	112.199.199.132	0	127348	f76353425e8e383356c5dbebcf37610e8812adff	wikitext	True	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937185328	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937185364	2020-01-23T13:22:41Z	TheGreatSGrean","2019–20 coronavirus pandemic",1
"TheGreatSGrean	36415105	127588	090310694ee1eb35ba3621bf472d9f1496291343	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937185782	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937186106	2020-01-23T13:30:08Z	Davianlols6	26724195	127590	73adc7d6d626cd0aca775f9b1536b1c2c48ad21f	wikitext	False	True	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937186106	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937186190	2020-01-23T13:31:10Z	TheGreatSGrean","2019–20 coronavirus pandemic",1
"TheGreatSGrean	36415105	127704	e0d31675fc5e53cc75637aa198914c1af253b230	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937186211	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937186224	2020-01-23T13:31:39Z	Skaijie	28208200	127806	e938be91018e05900568fe4ec289931e7eb4ba5f	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937186224	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937186292	2020-01-23T13:32:20Z	Skaijie	28208200	127704	e0d31675fc5e53cc75637aa198914c1af253b230	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937186292	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937186416	2020-01-23T13:33:25Z	TheGreatSGrean","2019–20 coronavirus pandemic",1
"TheGreatSGrean	36415105	129708	d78853f216992fd9f4821840d0b1f07aa20ed1c3	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937195944	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937196015	2020-01-23T14:55:29Z	146.198.117.179	0	129708	a15be3972a654a0705415d6bc31506a8eff05ad0	wikitext	True	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937196015	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937196054	2020-01-23T14:55:38Z	TheGreatSGrean","2019–20 coronavirus pandemic",1
"TheGreatSGrean	36415105	129712	5d1dc61e19f07d861c072fe841d4b21e7922bf3b	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937195634	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937195742	2020-01-23T14:53:06Z	Hallooooed	35860459	129712	8de1a265b2f6372a981954b924ae4ce3a3672d13	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937195742	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937195841	2020-01-23T14:53:52Z	TheGreatSGrean","2019–20 coronavirus pandemic",1
"TheGreatSGrean	36415105	130216	904e3a32e90fad581a5faeb33d19ef4fc9933007	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937197745	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937198110	2020-01-23T15:12:34Z	2001:14BA:1CFF:F00:ACA4:562D:AF15:5C6D	0	130216	8de36b62b45f3d5ec5ad453ac23fdad3d0ee110e	wikitext	True	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937198110	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937198325	2020-01-23T15:14:26Z	2001:14BA:1CFF:F00:ACA4:562D:AF15:5C6D	0	130216	df335c8f842842b4a41a8af0618e638d1d0c6866	wikitext	True	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937198325	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937198384	2020-01-23T15:14:57Z	Dieu2005	4376273	130283	71db81b1feb87c0102b37fe3b477ec0a68008959	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937198384	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937198715	2020-01-23T15:17:39Z	Nguyen QuocTrung	19338861	130216	904e3a32e90fad581a5faeb33d19ef4fc9933007	wikitext	False	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937198715	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937198895	2020-01-23T15:18:55Z	110.137.163.146	0	130212	36bef7c57b72f05b2c48474ff4c971492ca9773e	wikitext	True	False	https://en.wikipedia.org/w/index.php?title=2019%E2%80%9320_coronavirus_pandemic&oldid=937198895	2020-04-01 18:26:08.050692	ff5521d
2019–20 coronavirus pandemic	62750956	0	937199030	2020-01-23T15:19:58Z	TheGreatSGrean","2019–20 coronavirus pandemic",1
