search_term,entityid,pageid,search_position,timestamp
covid 19,Q87745903,86983206,39,2020-03-27T23:44:57Z
covid 19,Q83493517,82808781,40,2020-03-27T23:44:57Z
covid 19,Q88621656,87853555,41,2020-03-27T23:44:57Z
covid 19,Q88432095,87668034,42,2020-03-27T23:44:57Z
covid 19,Q88027839,87267861,43,2020-03-27T23:44:57Z
covid 19,Q83873057,83181450,44,2020-03-27T23:44:57Z
covid 19,Q87760968,86997932,45,2020-03-27T23:44:57Z
covid 19,Q87775006,87011352,46,2020-03-27T23:44:57Z
covid 19,Q87715843,86954087,47,2020-03-27T23:44:57Z
covid 19,Q88484813,87718759,48,2020-03-27T23:44:57Z
covid 19,Q87836826,87069707,49,2020-03-27T23:44:57Z
covid 19,Q88433250,87669175,50,2020-03-27T23:44:57Z
covid 19,Q88426101,87662116,51,2020-03-27T23:44:57Z
covid 19,Q83873548,83181935,52,2020-03-27T23:44:57Z
covid 19,Q88428926,87664881,53,2020-03-27T23:44:57Z
covid 19,Q88421877,87657925,54,2020-03-27T23:44:57Z
covid 19,Q88240100,87482749,55,2020-03-27T23:44:57Z
covid 19,Q83873566,83181953,56,2020-03-27T23:44:57Z
covid 19,Q88432676,87668610,57,2020-03-27T23:44:57Z
covid 19,Q83872398,83180814,58,2020-03-27T23:44:57Z
covid 19,Q83873573,83181960,59,2020-03-27T23:44:57Z
covid 19,Q83873580,83181967,60,2020-03-27T23:44:57Z
covid 19,Q88620612,87852511,61,2020-03-27T23:44:57Z
covid 19,Q85009501,84304300,62,2020-03-27T23:44:57Z
covid 19,Q83888864,83196817,63,2020-03-27T23:44:57Z
covid 19,Q88547643,87780215,64,2020-03-27T23:44:57Z
covid 19,Q88028644,87269037,65,2020-03-27T23:44:57Z
covid 19,Q88384731,87621433,66,2020-03-27T23:44:57Z
covid 19,Q88271439,87513325,67,2020-03-27T23:44:57Z
covid 19,Q88434313,87670238,68,2020-03-27T23:44:57Z
covid 19,Q87769654,87006179,69,2020-03-27T23:44:57Z
covid 19,Q87866152,87098411,70,2020-03-27T23:44:57Z
covid 19,Q88428307,87664268,71,2020-03-27T23:44:57Z
covid 19,Q87916172,87147087,72,2020-03-27T23:44:57Z
covid 19,Q88433600,87669525,73,2020-03-27T23:44:57Z
covid 19,Q83873387,83181774,74,2020-03-27T23:44:57Z
covid 19,Q88434414,87670340,75,2020-03-27T23:44:57Z
covid 19,Q88423264,87659296,76,2020-03-27T23:44:57Z
covid 19,Q87832342,87065308,77,2020-03-27T23:44:57Z
covid 19,Q87930919,87161551,78,2020-03-27T23:44:57Z
covid 19,Q87832121,87065088,79,2020-03-27T23:44:57Z
covid 19,Q87752235,86989400,80,2020-03-27T23:44:57Z
covid 19,Q87831132,87064115,81,2020-03-27T23:44:57Z
covid 19,Q88434173,87670098,82,2020-03-27T23:44:57Z
covid 19,Q85433399,84721905,83,2020-03-27T23:44:57Z
covid 19,Q87830616,87063625,84,2020-03-27T23:44:57Z
covid 19,Q87250695,86486290,85,2020-03-27T23:44:57Z
covid 19,Q87831118,87064101,86,2020-03-27T23:44:57Z
covid 19,Q87831062,87064048,87,2020-03-27T23:44:57Z
covid 19,Q87830899,87063892,88,2020-03-27T23:44:57Z
covid 19,Q87832835,87065798,89,2020-03-27T23:44:57Z
covid 19,Q87832644,87065611,90,2020-03-27T23:44:57Z
covid 19,Q87831107,87064091,91,2020-03-27T23:44:57Z
covid 19,Q88793745,88023527,92,2020-03-27T23:44:57Z
covid 19,Q87832031,87065004,93,2020-03-27T23:44:57Z
covid 19,Q87831101,87064085,94,2020-03-27T23:44:57Z
covid 19,Q87832027,87065000,95,2020-03-27T23:44:57Z
covid 19,Q87831321,87064300,96,2020-03-27T23:44:57Z
covid 19,Q87831652,87064628,97,2020-03-27T23:44:57Z
covid 19,Q87831513,87064490,98,2020-03-27T23:44:57Z
covid 19,Q84081307,83384804,99,2020-03-27T23:44:57Z
covid 19,Q87934502,87164957,100,2020-03-27T23:44:57Z
covid 19,Q88810165,88039846,101,2020-03-27T23:44:57Z
covid 19,Q87803531,87038170,102,2020-03-27T23:44:57Z
covid 19,Q88445633,87681434,103,2020-03-27T23:44:57Z
covid 19,Q87832041,87065011,104,2020-03-27T23:44:57Z
covid 19,Q87832485,87065452,105,2020-03-27T23:44:57Z
covid 19,Q88009553,87238542,106,2020-03-27T23:44:57Z
covid 19,Q87832778,87065741,107,2020-03-27T23:44:57Z
covid 19,Q87831779,87064753,108,2020-03-27T23:44:57Z
covid 19,Q87746418,86983709,109,2020-03-27T23:44:57Z
covid 19,Q87831096,87064080,110,2020-03-27T23:44:57Z
covid 19,Q87832037,87065007,111,2020-03-27T23:44:57Z
covid 19,Q87832023,87064996,112,2020-03-27T23:44:57Z
covid 19,Q88490075,87723926,113,2020-03-27T23:44:57Z
covid 19,Q88534264,87766999,114,2020-03-27T23:44:57Z
covid 19,Q86256931,85513978,115,2020-03-27T23:44:57Z
covid 19,Q87369505,86603315,116,2020-03-27T23:44:57Z
covid 19,Q88009438,87238444,117,2020-03-27T23:44:57Z
covid 19,Q88402640,87638910,118,2020-03-27T23:44:57Z
covid 19,Q88489775,87723626,119,2020-03-27T23:44:57Z
covid 19,Q88082809,87327991,120,2020-03-27T23:44:57Z
covid 19,Q88759117,87989005,121,2020-03-27T23:44:57Z
covid 19,Q88534320,87767055,122,2020-03-27T23:44:57Z
covid 19,Q88759097,87988986,123,2020-03-27T23:44:57Z
covid 19,Q88240196,87482834,124,2020-03-27T23:44:57Z
covid 19,Q88489967,87723818,125,2020-03-27T23:44:57Z
covid 19,Q88759110,87988999,126,2020-03-27T23:44:57Z
covid 19,Q85872042,85142641,127,2020-03-27T23:44:57Z
covid 19,Q88552880,87785344,128,2020-03-27T23:44:57Z
covid 19,Q84030045,83335227,129,2020-03-27T23:44:57Z
covid 19,Q87079533,86318434,130,2020-03-27T23:44:57Z
covid 19,Q87079534,86318435,131,2020-03-27T23:44:57Z
covid 19,Q88490918,87724757,132,2020-03-27T23:44:57Z
covid 19,Q88534285,87767020,133,2020-03-27T23:44:57Z
covid 19,Q88382240,87618966,134,2020-03-27T23:44:57Z
covid 19,Q88534261,87766996,135,2020-03-27T23:44:57Z
covid 19,Q85191416,84481399,136,2020-03-27T23:44:57Z
covid 19,Q88490931,87724768,137,2020-03-27T23:44:57Z
covid 19,Q88534271,87767006,138,2020-03-27T23:44:57Z
covid 19,Q88534268,87767003,139,2020-03-27T23:44:57Z
covid 19,Q88183447,87427483,140,2020-03-27T23:44:57Z
covid 19,Q88183396,87427434,141,2020-03-27T23:44:57Z
covid 19,Q87076197,86315179,142,2020-03-27T23:44:57Z
covid 19,Q88534282,87767017,143,2020-03-27T23:44:57Z
covid 19,Q88534291,87767026,144,2020-03-27T23:44:57Z
covid 19,Q88534288,87767023,145,2020-03-27T23:44:57Z
covid 19,Q88534328,87767063,146,2020-03-27T23:44:57Z
covid 19,Q88534440,87767174,147,2020-03-27T23:44:57Z
covid 19,Q87931348,87161960,148,2020-03-27T23:44:57Z
covid 19,Q88534443,87767177,149,2020-03-27T23:44:57Z
covid 19,Q88183430,87427466,150,2020-03-27T23:44:57Z
covid 19,Q88183394,87427432,151,2020-03-27T23:44:57Z
covid 19,Q88183420,87427456,152,2020-03-27T23:44:57Z
covid 19,Q88534275,87767010,153,2020-03-27T23:44:57Z
covid 19,Q88534254,87766989,154,2020-03-27T23:44:57Z
covid 19,Q88750030,87980009,155,2020-03-27T23:44:57Z
covid 19,Q88542183,87774809,156,2020-03-27T23:44:57Z
covid 19,Q88534371,87767106,157,2020-03-27T23:44:57Z
covid 19,Q88183448,87427484,158,2020-03-27T23:44:57Z
covid 19,Q87369501,86603310,159,2020-03-27T23:44:57Z
covid 19,Q88300060,87538800,160,2020-03-27T23:44:57Z
covid 19,Q88183432,87427468,161,2020-03-27T23:44:57Z
covid 19,Q87865677,87097934,162,2020-03-27T23:44:57Z
covid 19,Q88398331,87634684,163,2020-03-27T23:44:57Z
covid 19,Q88183374,87427413,164,2020-03-27T23:44:57Z
covid 19,Q88183403,87427441,165,2020-03-27T23:44:57Z
covid 19,Q88183398,87427436,166,2020-03-27T23:44:57Z
covid 19,Q88534385,87767120,167,2020-03-27T23:44:57Z
covid 19,Q88183386,87427424,168,2020-03-27T23:44:57Z
covid 19,Q88183412,87427447,169,2020-03-27T23:44:57Z
covid 19,Q88183429,87427465,170,2020-03-27T23:44:57Z
covid 19,Q88183421,87427457,171,2020-03-27T23:44:57Z
covid 19,Q88183343,87427383,172,2020-03-27T23:44:57Z
covid 19,Q88183426,87427462,173,2020-03-27T23:44:57Z
covid 19,Q88199660,87443296,174,2020-03-27T23:44:57Z
covid 19,Q87461333,86691577,175,2020-03-27T23:44:57Z
covid 19,Q88490933,87724770,176,2020-03-27T23:44:57Z
covid 19,Q88183434,87427470,177,2020-03-27T23:44:57Z
covid 19,Q88183399,87427437,178,2020-03-27T23:44:57Z
covid 19,Q88183417,87427453,179,2020-03-27T23:44:57Z
covid 19,Q88391198,87627824,180,2020-03-27T23:44:57Z
covid 19,Q88484807,87718752,181,2020-03-27T23:44:57Z
covid 19,Q88183377,87427415,182,2020-03-27T23:44:57Z
covid 19,Q88183382,87427420,183,2020-03-27T23:44:57Z
covid 19,Q88183415,87427451,184,2020-03-27T23:44:57Z
covid 19,Q88183350,87427389,185,2020-03-27T23:44:57Z
covid 19,Q88534248,87766983,186,2020-03-27T23:44:57Z
covid 19,Q88183442,87427478,187,2020-03-27T23:44:57Z
covid 19,Q88183371,87427409,188,2020-03-27T23:44:57Z
covid 19,Q88183425,87427461,189,2020-03-27T23:44:57Z
covid 19,Q88381181,87617942,190,2020-03-27T23:44:57Z
covid 19,Q88183410,87427446,191,2020-03-27T23:44:57Z
covid 19,Q88183360,87427399,192,2020-03-27T23:44:57Z
covid 19,Q88183445,87427481,193,2020-03-27T23:44:57Z
covid 19,Q88183427,87427463,194,2020-03-27T23:44:57Z
covid 19,Q88183406,87427443,195,2020-03-27T23:44:57Z
covid 19,Q88183423,87427459,196,2020-03-27T23:44:57Z
covid 19,Q88183355,87427394,197,2020-03-27T23:44:57Z
covid 19,Q88183437,87427473,198,2020-03-27T23:44:57Z
covid 19,Q88381196,87617957,199,2020-03-27T23:44:57Z
covid 19,Q88490919,87724758,200,2020-03-27T23:44:57Z
covid 19,Q88183366,87427405,201,2020-03-27T23:44:57Z
covid 19,Q88183392,87427430,202,2020-03-27T23:44:57Z
covid 19,Q88183387,87427425,203,2020-03-27T23:44:57Z
covid 19,Q88183438,87427474,204,2020-03-27T23:44:57Z
covid 19,Q88183439,87427475,205,2020-03-27T23:44:57Z
covid 19,Q86268622,85525250,206,2020-03-27T23:44:57Z
covid 19,Q88398320,87634673,207,2020-03-27T23:44:57Z
covid 19,Q87755922,86992987,208,2020-03-27T23:44:57Z
covid 19,Q81068910,80438732,209,2020-03-27T23:44:57Z
covid 19,Q88074687,87320054,210,2020-03-27T23:44:57Z
covid 19,Q84055514,83360341,211,2020-03-27T23:44:57Z
covid 19,Q82069695,81427064,212,2020-03-27T23:44:57Z
covid 19,Q83872271,83180693,213,2020-03-27T23:44:57Z
covid 19,Q83873556,83181942,214,2020-03-27T23:44:57Z
covid 19,Q87843252,87075929,215,2020-03-27T23:44:57Z
covid 19,Q84167106,83470327,216,2020-03-27T23:44:57Z
covid 19,Q87779474,87015727,217,2020-03-27T23:44:57Z
covid 19,Q84055544,83360370,218,2020-03-27T23:44:57Z
covid 19,Q83189805,82525152,219,2020-03-27T23:44:57Z
covid 19,Q86717788,85963262,220,2020-03-27T23:44:57Z
covid 19,Q87494721,86735623,221,2020-03-27T23:44:57Z
covid 19,Q88183341,87427380,222,2020-03-27T23:44:57Z
covid 19,Q83889114,83197057,223,2020-03-27T23:44:57Z
covid 19,Q88750072,87980051,224,2020-03-27T23:44:57Z
covid 19,Q87460818,86690817,225,2020-03-27T23:44:57Z
covid 19,Q88183346,87427385,226,2020-03-27T23:44:57Z
covid 19,Q88183400,87427438,227,2020-03-27T23:44:57Z
covid 19,Q87288595,86523336,228,2020-03-27T23:44:57Z
covid 19,Q88183384,87427422,229,2020-03-27T23:44:57Z
covid 19,Q87411335,86642885,230,2020-03-27T23:44:57Z
covid 19,Q88183441,87427477,231,2020-03-27T23:44:57Z
covid 19,Q88256228,87498713,232,2020-03-27T23:44:57Z
covid 19,Q88183353,87427392,233,2020-03-27T23:44:57Z
covid 19,Q88183401,87427439,234,2020-03-27T23:44:57Z
covid 19,Q88183389,87427427,235,2020-03-27T23:44:57Z
covid 19,Q88183407,87427444,236,2020-03-27T23:44:57Z
covid 19,Q88429117,87665073,237,2020-03-27T23:44:57Z
covid 19,Q88621174,87853072,238,2020-03-27T23:44:57Z
covid 19,Q88183388,87427426,239,2020-03-27T23:44:57Z
covid 19,Q87722455,86960620,240,2020-03-27T23:44:57Z
covid 19,Q88534278,87767012,241,2020-03-27T23:44:57Z
covid 19,Q87716474,86954688,242,2020-03-27T23:44:57Z
covid 19,Q88234671,87477397,243,2020-03-27T23:44:57Z
covid 19,Q87921915,87152715,244,2020-03-27T23:44:57Z
covid 19,Q88183440,87427476,245,2020-03-27T23:44:57Z
covid 19,Q87587763,86829600,246,2020-03-27T23:44:57Z
covid 19,Q87671845,86911246,247,2020-03-27T23:44:57Z
covid 19,Q86191244,85452290,248,2020-03-27T23:44:57Z
covid 19,Q88534295,87767030,249,2020-03-27T23:44:57Z
covid 19,Q87644740,86884828,250,2020-03-27T23:44:57Z
covid 19,Q84146057,83449338,251,2020-03-27T23:44:57Z
covid 19,Q88490916,87724755,252,2020-03-27T23:44:57Z
covid 19,Q88490917,87724756,253,2020-03-27T23:44:57Z
covid 19,Q87400415,86633342,254,2020-03-27T23:44:57Z
covid 19,Q86372170,85623729,255,2020-03-27T23:44:57Z
covid 19,Q88534375,87767110,256,2020-03-27T23:44:57Z
covid 19,Q87752571,86989715,257,2020-03-27T23:44:57Z
covid 19,Q88490922,87724761,258,2020-03-27T23:44:57Z
covid 19,Q88490925,87724764,259,2020-03-27T23:44:57Z
covid 19,Q88324510,87562929,260,2020-03-27T23:44:57Z
covid 19,Q88125070,87370023,261,2020-03-27T23:44:57Z
covid 19,Q88490928,87724766,262,2020-03-27T23:44:57Z
covid 19,Q87281222,86516538,263,2020-03-27T23:44:57Z
covid 19,Q87930988,87161616,264,2020-03-27T23:44:57Z
covid 19,Q88786956,88016760,265,2020-03-27T23:44:57Z
covid 19,Q88534368,87767103,266,2020-03-27T23:44:57Z
covid 19,Q86276764,85533117,267,2020-03-27T23:44:57Z
covid 19,Q87151231,86388881,268,2020-03-27T23:44:57Z
covid 19,Q87212514,86448802,269,2020-03-27T23:44:57Z
covid 19,Q88492614,87726381,270,2020-03-27T23:44:57Z
covid 19,Q87250860,86486455,271,2020-03-27T23:44:57Z
covid 19,Q88588557,87820699,272,2020-03-27T23:44:57Z
covid 19,Q88725096,87955495,273,2020-03-27T23:44:57Z
covid 19,Q87191204,86427766,274,2020-03-27T23:44:57Z
covid 19,Q88534323,87767058,275,2020-03-27T23:44:57Z
covid 19,Q86989495,86231003,276,2020-03-27T23:44:57Z
covid 19,Q86193846,85454346,277,2020-03-27T23:44:57Z
covid 19,Q86838462,86082711,278,2020-03-27T23:44:57Z
covid 19,Q87843165,87075842,279,2020-03-27T23:44:57Z
covid 19,Q88534258,87766993,280,2020-03-27T23:44:57Z
covid 19,Q87078383,86317293,281,2020-03-27T23:44:57Z
covid 19,Q88551827,87784291,282,2020-03-27T23:44:57Z
covid 19,Q86194740,85455089,283,2020-03-27T23:44:57Z
covid 19,Q87461395,86691639,284,2020-03-27T23:44:57Z
covid 19,Q85363722,84652972,285,2020-03-27T23:44:57Z
covid 19,Q88292589,87531485,286,2020-03-27T23:44:57Z
covid 19,Q87115602,86353632,287,2020-03-27T23:44:57Z
covid 19,Q87455852,86684875,288,2020-03-27T23:44:57Z
covid 19,Q85191411,84481394,289,2020-03-27T23:44:57Z
covid 19,Q86911727,86154921,290,2020-03-27T23:44:57Z
covid 19,Q88490915,87724754,291,2020-03-27T23:44:57Z
covid 19,Q86194473,85454839,292,2020-03-27T23:44:57Z
covid 19,Q88339758,87577988,293,2020-03-27T23:44:57Z
covid 19,Q87226482,86462611,294,2020-03-27T23:44:57Z
covid 19,Q86838417,86082661,295,2020-03-27T23:44:57Z
covid 19,Q87949688,87180026,296,2020-03-27T23:44:57Z
covid 19,Q86466811,85716153,297,2020-03-27T23:44:57Z
covid 19,Q87079050,86317954,298,2020-03-27T23:44:57Z
covid 19,Q86140359,85403399,299,2020-03-27T23:44:57Z
covid 19,Q88381172,87617931,300,2020-03-27T23:44:57Z
covid 19,Q88381177,87617937,301,2020-03-27T23:44:57Z
covid 19,Q86613893,85860984,302,2020-03-27T23:44:57Z
covid 19,Q88024576,87262833,303,2020-03-27T23:44:57Z
covid 19,Q87407269,86639250,304,2020-03-27T23:44:57Z
covid 19,Q88381202,87617963,305,2020-03-27T23:44:57Z
covid 19,Q88381173,87617932,306,2020-03-27T23:44:57Z
covid 19,Q88381203,87617964,307,2020-03-27T23:44:57Z
covid 19,Q88490926,87724765,308,2020-03-27T23:44:57Z
covid 19,Q86551502,85799759,309,2020-03-27T23:44:57Z
covid 19,Q87929996,87160680,310,2020-03-27T23:44:57Z
covid 19,Q88381187,87617949,311,2020-03-27T23:44:57Z
covid 19,Q85364077,84653328,312,2020-03-27T23:44:57Z
covid 19,Q88490930,87724767,313,2020-03-27T23:44:57Z
covid 19,Q87932646,87163124,314,2020-03-27T23:44:57Z
covid 19,Q88805840,88035545,315,2020-03-27T23:44:57Z
covid 19,Q88381175,87617934,316,2020-03-27T23:44:57Z
covid 19,Q88381179,87617940,317,2020-03-27T23:44:57Z
covid 19,Q88381184,87617945,318,2020-03-27T23:44:57Z
covid 19,Q88381185,87617947,319,2020-03-27T23:44:57Z
covid 19,Q88490934,87724771,320,2020-03-27T23:44:57Z
covid 19,Q88381201,87617961,321,2020-03-27T23:44:57Z
covid 19,Q88485024,87718971,322,2020-03-27T23:44:57Z
covid 19,Q88766042,87995429,323,2020-03-27T23:44:57Z
covid 19,Q87146036,86383792,324,2020-03-27T23:44:57Z
covid 19,Q86192388,85453283,325,2020-03-27T23:44:57Z
covid 19,Q88412438,87648603,326,2020-03-27T23:44:57Z
covid 19,Q88382242,87618968,327,2020-03-27T23:44:57Z
covid 19,Q87133797,86371638,328,2020-03-27T23:44:57Z
covid 19,Q88381200,87617960,329,2020-03-27T23:44:57Z
covid 19,Q88381176,87617936,330,2020-03-27T23:44:57Z
covid 19,Q88381194,87617955,331,2020-03-27T23:44:57Z
covid 19,Q88382237,87618963,332,2020-03-27T23:44:57Z
covid 19,Q88381189,87617951,333,2020-03-27T23:44:57Z
covid 19,Q88398342,87634694,334,2020-03-27T23:44:57Z
covid 19,Q88490076,87723927,335,2020-03-27T23:44:57Z
covid 19,Q86186253,85447539,336,2020-03-27T23:44:57Z
covid 19,Q88398339,87634691,337,2020-03-27T23:44:57Z
covid 19,Q88381171,87617930,338,2020-03-27T23:44:57Z
covid 19,Q88490072,87723923,339,2020-03-27T23:44:57Z
covid 19,Q88398335,87634688,340,2020-03-27T23:44:57Z
covid 19,Q88398317,87634670,341,2020-03-27T23:44:57Z
covid 19,Q87369508,86603318,342,2020-03-27T23:44:57Z
covid 19,Q83741704,83052932,343,2020-03-27T23:44:57Z
covid 19,Q88398354,87634706,344,2020-03-27T23:44:57Z
covid 19,Q87766827,87003327,345,2020-03-27T23:44:57Z
covid 19,Q88381197,87617958,346,2020-03-27T23:44:57Z
covid 19,Q88381188,87617950,347,2020-03-27T23:44:57Z
covid 19,Q87701391,86939887,348,2020-03-27T23:44:57Z
covid 19,Q88398328,87634681,349,2020-03-27T23:44:57Z
covid 19,Q88490920,87724759,350,2020-03-27T23:44:57Z
covid 19,Q87930871,87161509,351,2020-03-27T23:44:57Z
covid 19,Q87932554,87163044,352,2020-03-27T23:44:57Z
covid 19,Q88398322,87634675,353,2020-03-27T23:44:57Z
covid 19,Q88539318,87771962,354,2020-03-27T23:44:57Z
covid 19,Q88398356,87634708,355,2020-03-27T23:44:57Z
covid 19,Q88490079,87723930,356,2020-03-27T23:44:57Z
covid 19,Q87932565,87163055,357,2020-03-27T23:44:57Z
covid 19,Q88538539,87771189,358,2020-03-27T23:44:57Z
covid 19,Q88490071,87723922,359,2020-03-27T23:44:57Z
covid 19,Q88398325,87634678,360,2020-03-27T23:44:57Z
covid 19,Q88385577,87622285,361,2020-03-27T23:44:57Z
covid 19,Q87931427,87162016,362,2020-03-27T23:44:57Z
covid 19,Q88381132,87617893,363,2020-03-27T23:44:57Z
covid 19,Q87931200,87161825,364,2020-03-27T23:44:57Z
covid 19,Q87763158,86999791,365,2020-03-27T23:44:57Z
covid 19,Q88490074,87723925,366,2020-03-27T23:44:57Z
covid 19,Q87908797,87139821,367,2020-03-27T23:44:57Z
covid 19,Q87931619,87162179,368,2020-03-27T23:44:57Z
covid 19,Q87931451,87162038,369,2020-03-27T23:44:57Z
covid 19,Q85610489,84895806,370,2020-03-27T23:44:57Z
covid 19,Q87461428,86691672,371,2020-03-27T23:44:57Z
covid 19,Q88105063,87349908,372,2020-03-27T23:44:57Z
covid 19,Q88542627,87775250,373,2020-03-27T23:44:57Z
covid 19,Q88489973,87723824,374,2020-03-27T23:44:57Z
covid 19,Q86847911,86092058,375,2020-03-27T23:44:57Z
covid 19,Q88383887,87620628,376,2020-03-27T23:44:57Z
covid 19,Q88641618,87872735,377,2020-03-27T23:44:57Z
covid 19,Q87072670,86311700,378,2020-03-27T23:44:57Z
covid 19,Q87931549,87162115,379,2020-03-27T23:44:57Z
covid 19,Q87281214,86516533,380,2020-03-27T23:44:57Z
covid 19,Q88490078,87723929,381,2020-03-27T23:44:57Z
covid 19,Q87461310,86691554,382,2020-03-27T23:44:57Z
covid 19,Q87226248,86462378,383,2020-03-27T23:44:57Z
covid 19,Q88622746,87854644,384,2020-03-27T23:44:57Z
covid 19,Q88807745,88037432,385,2020-03-27T23:44:57Z
covid 19,Q88801677,88031417,386,2020-03-27T23:44:57Z
covid 19,Q87461276,86691491,387,2020-03-27T23:44:57Z
covid 19,Q88489971,87723822,388,2020-03-27T23:44:57Z
covid 19,Q86273734,85530166,389,2020-03-27T23:44:57Z
covid 19,Q86727724,85973084,390,2020-03-27T23:44:57Z
covid 19,Q88489978,87723829,391,2020-03-27T23:44:57Z
covid 19,Q33195772,34646588,392,2020-03-27T23:44:57Z
covid 19,Q87281216,86516534,393,2020-03-27T23:44:57Z
covid 19,Q87281392,86516608,394,2020-03-27T23:44:57Z
covid 19,Q88489969,87723820,395,2020-03-27T23:44:57Z
covid 19,Q88008804,87237894,396,2020-03-27T23:44:57Z
covid 19,Q87866480,87098738,397,2020-03-27T23:44:57Z
covid 19,Q87931159,87161785,398,2020-03-27T23:44:57Z
covid 19,Q88401163,87637445,399,2020-03-27T23:44:57Z
covid 19,Q87461337,86691581,400,2020-03-27T23:44:57Z
covid 19,Q87656001,86895725,401,2020-03-27T23:44:57Z
covid 19,Q87461266,86691465,402,2020-03-27T23:44:57Z
covid 19,Q87931436,87162025,403,2020-03-27T23:44:57Z
covid 19,Q87748572,86985807,404,2020-03-27T23:44:57Z
covid 19,Q87281437,86516631,405,2020-03-27T23:44:57Z
covid 19,Q85876114,85146673,406,2020-03-27T23:44:57Z
covid 19,Q86547518,85795818,407,2020-03-27T23:44:57Z
covid 19,Q88812834,88042489,408,2020-03-27T23:44:57Z
covid 19,Q87931003,87161631,409,2020-03-27T23:44:57Z
covid 19,Q86919406,86162326,410,2020-03-27T23:44:57Z
covid 19,Q86910695,86153900,411,2020-03-27T23:44:57Z
covid 19,Q87281389,86516606,412,2020-03-27T23:44:57Z
covid 19,Q88479577,87713611,413,2020-03-27T23:44:57Z
covid 19,Q86281659,85537881,414,2020-03-27T23:44:57Z
covid 19,Q87931057,87161684,415,2020-03-27T23:44:57Z
covid 19,Q87930776,87161414,416,2020-03-27T23:44:57Z
covid 19,Q87473205,86707213,417,2020-03-27T23:44:57Z
covid 19,Q87916279,87147188,418,2020-03-27T23:44:57Z
covid 19,Q87767992,87004500,419,2020-03-27T23:44:57Z
covid 19,Q87461301,86691545,420,2020-03-27T23:44:57Z
covid 19,Q87963364,87193517,421,2020-03-27T23:44:57Z
covid 19,Q88063368,87308407,422,2020-03-27T23:44:57Z
covid 19,Q83761248,83072384,423,2020-03-27T23:44:57Z
covid 19,Q87759574,86996577,424,2020-03-27T23:44:57Z
covid 19,Q88454081,87688627,425,2020-03-27T23:44:57Z
covid 19,Q88479591,87713625,426,2020-03-27T23:44:57Z
covid 19,Q87932973,87163450,427,2020-03-27T23:44:57Z
covid 19,Q88801439,88031179,428,2020-03-27T23:44:57Z
covid 19,Q86597685,85844983,429,2020-03-27T23:44:57Z
covid 19,Q87930327,87160982,430,2020-03-27T23:44:57Z
covid 19,Q87930700,87161348,431,2020-03-27T23:44:57Z
covid 19,Q87930797,87161435,432,2020-03-27T23:44:57Z
covid 19,Q87461314,86691558,433,2020-03-27T23:44:57Z
