query,value,term,date
coronavirus romania,21100,coronavirus,2020-03-28
coronavirus update uk,21050,coronavirus,2020-03-28
decreto coronavirus,20650,coronavirus,2020-03-28
coronavirus österreich,19650,coronavirus,2020-03-28
coronavirus colorado,17900,coronavirus,2020-03-28
coronavirus memes,17700,coronavirus,2020-03-28
coronavirus milano,17050,coronavirus,2020-03-28
virginia coronavirus,16950,coronavirus,2020-03-28
coronavirus tracker,16850,coronavirus,2020-03-28
coronavirus cases in india,16600,coronavirus,2020-03-28
coronavirus conseils,16300,coronavirus,2020-03-28
coronavirus,1175050,covid-19,2020-03-28
coronavirus covid-19,1169000,covid-19,2020-03-28
covid,644400,covid-19,2020-03-28
covid-19 cases,603750,covid-19,2020-03-28
covid 19,452650,covid-19,2020-03-28
corona,395750,covid-19,2020-03-28
covid-19 virus,386500,covid-19,2020-03-28
covid-19 symptoms,290450,covid-19,2020-03-28
covid-19 map,283950,covid-19,2020-03-28
covid-19 news,238050,covid-19,2020-03-28
covid-19 updates,225500,covid-19,2020-03-28
covid-19 update,212000,covid-19,2020-03-28
covid-19 live,203750,covid-19,2020-03-28
corona virus,198650,covid-19,2020-03-28
covid-19 us,186600,covid-19,2020-03-28
covid-19 who,173150,covid-19,2020-03-28
what is covid-19,170900,covid-19,2020-03-28
canada covid-19,168900,covid-19,2020-03-28
who,168150,covid-19,2020-03-28
covid-19 canada,165250,covid-19,2020-03-28
cdc covid-19,145600,covid-19,2020-03-28
cdc,140700,covid-19,2020-03-28
covid-19 test,139050,covid-19,2020-03-28
covid-19 world,132150,covid-19,2020-03-28
china covid-19,129200,covid-19,2020-03-28
covid,1482050,covid19,2020-03-28
covid 19,1260000,covid19,2020-03-28
coronavirus covid19,917000,covid19,2020-03-28
coronavirus,905050,covid19,2020-03-28
covid19 cases,514800,covid19,2020-03-28
corona,412650,covid19,2020-03-28
covid19 virus,384000,covid19,2020-03-28
covid19 news,274300,covid19,2020-03-28
symptoms covid19,231450,covid19,2020-03-28
covid19 update,229800,covid19,2020-03-28
covid19 map,225450,covid19,2020-03-28
corona virus,205550,covid19,2020-03-28
covid19 us,183000,covid19,2020-03-28
what is covid19,168150,covid19,2020-03-28
covid19 who,164550,covid19,2020-03-28
who,161750,covid19,2020-03-28
covid19 canada,153250,covid19,2020-03-28
italy covid19,150050,covid19,2020-03-28
covid19 test,145450,covid19,2020-03-28
italy,145300,covid19,2020-03-28
china covid19,143450,covid19,2020-03-28
uk covid19,133900,covid19,2020-03-28
covid-19,126550,covid19,2020-03-28
usa covid19,121450,covid19,2020-03-28
covid19 deaths,116200,covid19,2020-03-28
coronavirus sars-cov-2,705200,sars-cov-2,2020-03-28
coronavirus,691350,sars-cov-2,2020-03-28
sars-cov-2 covid-19,549050,sars-cov-2,2020-03-28
covid-19,482800,sars-cov-2,2020-03-28
sars,326400,sars-cov-2,2020-03-28
virus sars-cov-2,305300,sars-cov-2,2020-03-28
corona,261700,sars-cov-2,2020-03-28
covid 19,250950,sars-cov-2,2020-03-28
sars-cov-2 covid 19,245900,sars-cov-2,2020-03-28
who,118700,sars-cov-2,2020-03-28
corona virus,105000,sars-cov-2,2020-03-28
covid19,92650,sars-cov-2,2020-03-28
sars-cov-2 vs covid-19,92200,sars-cov-2,2020-03-28
what is sars-cov-2,90550,sars-cov-2,2020-03-28
sars cov 2,75800,sars-cov-2,2020-03-28
sars-cov-2 wiki,62400,sars-cov-2,2020-03-28
koronawirus,50900,sars-cov-2,2020-03-28
sars-cov,50500,sars-cov-2,2020-03-28
mers,50300,sars-cov-2,2020-03-28
sars-cov-2 symptoms,47500,sars-cov-2,2020-03-28
pubmed,25200,sars-cov-2,2020-03-28
sars-cov-2 vs cod-19,25150,sars-cov-2,2020-03-28
on the origin and continuing evolution of sars-cov-2,22300,sars-cov-2,2020-03-28
the proximal origin of sars-cov-2,22250,sars-cov-2,2020-03-28
sars2,19050,sars-cov-2,2020-03-28
coronavirus pandemic,665900,covid-19 pandemic,2020-03-28
coronavirus,648150,covid-19 pandemic,2020-03-28
covid-19 coronavirus pandemic,621900,covid-19 pandemic,2020-03-28
is covid-19 a pandemic,339100,covid-19 pandemic,2020-03-28
who pandemic,284050,covid-19 pandemic,2020-03-28
who,269600,covid-19 pandemic,2020-03-28
covid 19,221350,covid-19 pandemic,2020-03-28
covid 19 pandemic,221150,covid-19 pandemic,2020-03-28
epidemic,168100,covid-19 pandemic,2020-03-28
pandemic meaning,142000,covid-19 pandemic,2020-03-28
cdc,115650,covid-19 pandemic,2020-03-28
what is a pandemic,102200,covid-19 pandemic,2020-03-28
pandemic definition,82550,covid-19 pandemic,2020-03-28
covid-19 symptoms,75350,covid-19 pandemic,2020-03-28
coronavirus pandemic covid-19 live world map/count,52600,covid-19 pandemic,2020-03-28
covid-19 updates,49400,covid-19 pandemic,2020-03-28
covid-19 pandemic unemployment payment,39300,covid-19 pandemic,2020-03-28
covid-19 pandemic unemployment,36150,covid-19 pandemic,2020-03-28
pandemic vs endemic,29600,covid-19 pandemic,2020-03-28
who declared covid-19 pandemic,29550,covid-19 pandemic,2020-03-28
when was the last pandemic,19550,covid-19 pandemic,2020-03-28
