query,value,term,date
coronavirus italia,40,coronavirus,2020-03-28
india coronavirus,39,coronavirus,2020-03-28
coronavirus france,38,coronavirus,2020-03-28
coronavirus italy,31,coronavirus,2020-03-28
sintomas coronavirus,31,coronavirus,2020-03-28
coronavirus sintomas,31,coronavirus,2020-03-28
coronavirus usa,30,coronavirus,2020-03-28
us coronavirus,29,coronavirus,2020-03-28
coronavirus españa,27,coronavirus,2020-03-28
symptoms of coronavirus,26,coronavirus,2020-03-28
coronavirus live,25,coronavirus,2020-03-28
coronavirus tips,23,coronavirus,2020-03-28
coronavirus in india,21,coronavirus,2020-03-28
casos coronavirus,21,coronavirus,2020-03-28
covid,21,coronavirus,2020-03-28
coronavirus,100,covid-19,2020-03-28
coronavirus covid-19,99,covid-19,2020-03-28
covid,55,covid-19,2020-03-28
covid-19 cases,51,covid-19,2020-03-28
covid 19,39,covid-19,2020-03-28
corona,34,covid-19,2020-03-28
covid-19 virus,33,covid-19,2020-03-28
covid-19 symptoms,25,covid-19,2020-03-28
covid-19 map,24,covid-19,2020-03-28
covid-19 news,20,covid-19,2020-03-28
covid-19 updates,19,covid-19,2020-03-28
covid-19 update,18,covid-19,2020-03-28
covid-19 live,17,covid-19,2020-03-28
corona virus,17,covid-19,2020-03-28
covid-19 us,16,covid-19,2020-03-28
covid-19 who,15,covid-19,2020-03-28
what is covid-19,15,covid-19,2020-03-28
canada covid-19,14,covid-19,2020-03-28
who,14,covid-19,2020-03-28
covid-19 canada,14,covid-19,2020-03-28
cdc covid-19,12,covid-19,2020-03-28
cdc,12,covid-19,2020-03-28
covid-19 test,12,covid-19,2020-03-28
covid-19 world,11,covid-19,2020-03-28
china covid-19,11,covid-19,2020-03-28
covid,100,covid19,2020-03-28
covid 19,85,covid19,2020-03-28
coronavirus covid19,62,covid19,2020-03-28
coronavirus,61,covid19,2020-03-28
covid19 cases,35,covid19,2020-03-28
corona,28,covid19,2020-03-28
covid19 virus,26,covid19,2020-03-28
covid19 news,19,covid19,2020-03-28
symptoms covid19,16,covid19,2020-03-28
covid19 update,16,covid19,2020-03-28
covid19 map,15,covid19,2020-03-28
corona virus,14,covid19,2020-03-28
covid19 us,12,covid19,2020-03-28
what is covid19,11,covid19,2020-03-28
covid19 who,11,covid19,2020-03-28
who,11,covid19,2020-03-28
covid19 canada,10,covid19,2020-03-28
italy covid19,10,covid19,2020-03-28
covid19 test,10,covid19,2020-03-28
italy,10,covid19,2020-03-28
china covid19,10,covid19,2020-03-28
uk covid19,9,covid19,2020-03-28
covid-19,9,covid19,2020-03-28
usa covid19,8,covid19,2020-03-28
covid19 deaths,8,covid19,2020-03-28
coronavirus sars-cov-2,100,sars-cov-2,2020-03-28
coronavirus,98,sars-cov-2,2020-03-28
sars-cov-2 covid-19,78,sars-cov-2,2020-03-28
covid-19,68,sars-cov-2,2020-03-28
sars,46,sars-cov-2,2020-03-28
virus sars-cov-2,43,sars-cov-2,2020-03-28
corona,37,sars-cov-2,2020-03-28
covid 19,36,sars-cov-2,2020-03-28
sars-cov-2 covid 19,35,sars-cov-2,2020-03-28
who,17,sars-cov-2,2020-03-28
corona virus,15,sars-cov-2,2020-03-28
covid19,13,sars-cov-2,2020-03-28
sars-cov-2 vs covid-19,13,sars-cov-2,2020-03-28
what is sars-cov-2,13,sars-cov-2,2020-03-28
sars cov 2,11,sars-cov-2,2020-03-28
sars-cov-2 wiki,9,sars-cov-2,2020-03-28
koronawirus,7,sars-cov-2,2020-03-28
sars-cov,7,sars-cov-2,2020-03-28
mers,7,sars-cov-2,2020-03-28
sars-cov-2 symptoms,7,sars-cov-2,2020-03-28
pubmed,4,sars-cov-2,2020-03-28
sars-cov-2 vs cod-19,4,sars-cov-2,2020-03-28
on the origin and continuing evolution of sars-cov-2,3,sars-cov-2,2020-03-28
the proximal origin of sars-cov-2,3,sars-cov-2,2020-03-28
sars2,3,sars-cov-2,2020-03-28
coronavirus pandemic,100,covid-19 pandemic,2020-03-28
coronavirus,97,covid-19 pandemic,2020-03-28
covid-19 coronavirus pandemic,93,covid-19 pandemic,2020-03-28
is covid-19 a pandemic,51,covid-19 pandemic,2020-03-28
who pandemic,43,covid-19 pandemic,2020-03-28
who,40,covid-19 pandemic,2020-03-28
covid 19,33,covid-19 pandemic,2020-03-28
covid 19 pandemic,33,covid-19 pandemic,2020-03-28
epidemic,25,covid-19 pandemic,2020-03-28
pandemic meaning,21,covid-19 pandemic,2020-03-28
cdc,17,covid-19 pandemic,2020-03-28
what is a pandemic,15,covid-19 pandemic,2020-03-28
pandemic definition,12,covid-19 pandemic,2020-03-28
covid-19 symptoms,11,covid-19 pandemic,2020-03-28
coronavirus pandemic covid-19 live world map/count,8,covid-19 pandemic,2020-03-28
covid-19 updates,7,covid-19 pandemic,2020-03-28
covid-19 pandemic unemployment payment,6,covid-19 pandemic,2020-03-28
covid-19 pandemic unemployment,5,covid-19 pandemic,2020-03-28
pandemic vs endemic,4,covid-19 pandemic,2020-03-28
who declared covid-19 pandemic,4,covid-19 pandemic,2020-03-28
when was the last pandemic,3,covid-19 pandemic,2020-03-28
coronavirus update,100,coronavirus,2020-03-29
corona,93,coronavirus,2020-03-29
symptoms,85,coronavirus,2020-03-29
coronavirus symptoms,82,coronavirus,2020-03-29
news coronavirus,71,coronavirus,2020-03-29
coronavirus cases,66,coronavirus,2020-03-29
uk coronavirus,52,coronavirus,2020-03-29
corona virus,49,coronavirus,2020-03-29
coronavirus map,42,coronavirus,2020-03-29
coronavirus china,40,coronavirus,2020-03-29
italia coronavirus,38,coronavirus,2020-03-29
india coronavirus,37,coronavirus,2020-03-29
coronavirus france,35,coronavirus,2020-03-29
coronavirus sintomas,30,coronavirus,2020-03-29
italy,29,coronavirus,2020-03-29
coronavirus us,28,coronavirus,2020-03-29
coronavirus italy,28,coronavirus,2020-03-29
coronavirus usa,28,coronavirus,2020-03-29
coronavirus españa,26,coronavirus,2020-03-29
symptoms of coronavirus,26,coronavirus,2020-03-29
coronavirus live,25,coronavirus,2020-03-29
coronavirus tips,22,coronavirus,2020-03-29
coronavirus in india,20,coronavirus,2020-03-29
what is coronavirus,20,coronavirus,2020-03-29
coronavirus latest,19,coronavirus,2020-03-29
coronavirus covid-19,100,covid-19,2020-03-29
coronavirus,100,covid-19,2020-03-29
covid,58,covid-19,2020-03-29
covid-19 cases,49,covid-19,2020-03-29
covid 19,40,covid-19,2020-03-29
virus covid-19,36,covid-19,2020-03-29
corona,34,covid-19,2020-03-29
covid-19 map,24,covid-19,2020-03-29
covid-19 symptoms,23,covid-19,2020-03-29
covid-19 news,22,covid-19,2020-03-29
covid-19 updates,20,covid-19,2020-03-29
covid-19 update,18,covid-19,2020-03-29
covid-19 live,17,covid-19,2020-03-29
corona virus,17,covid-19,2020-03-29
who,16,covid-19,2020-03-29
covid-19 us,15,covid-19,2020-03-29
what is covid-19,15,covid-19,2020-03-29
canada covid-19,15,covid-19,2020-03-29
covid-19 who,15,covid-19,2020-03-29
covid-19 cdc,12,covid-19,2020-03-29
cdc,12,covid-19,2020-03-29
covid-19 test,11,covid-19,2020-03-29
italy covid-19,11,covid-19,2020-03-29
italy,10,covid-19,2020-03-29
covid-19 usa,10,covid-19,2020-03-29
covid,100,covid19,2020-03-29
covid 19,88,covid19,2020-03-29
coronavirus,61,covid19,2020-03-29
coronavirus covid19,61,covid19,2020-03-29
covid19 cases,33,covid19,2020-03-29
corona,25,covid19,2020-03-29
virus covid19,25,covid19,2020-03-29
covid19 news,17,covid19,2020-03-29
covid19 symptoms,16,covid19,2020-03-29
covid19 update,15,covid19,2020-03-29
map covid19,14,covid19,2020-03-29
corona virus covid19,14,covid19,2020-03-29
corona virus,14,covid19,2020-03-29
who,12,covid19,2020-03-29
covid19 us,11,covid19,2020-03-29
what is covid19,11,covid19,2020-03-29
who covid19,11,covid19,2020-03-29
canada covid19,11,covid19,2020-03-29
covid19 italy,10,covid19,2020-03-29
italy,10,covid19,2020-03-29
test covid19,10,covid19,2020-03-29
covid19 china,10,covid19,2020-03-29
covid19 uk,9,covid19,2020-03-29
covid-19,9,covid19,2020-03-29
covid19 usa,8,covid19,2020-03-29
coronavirus sars-cov-2,100,sars-cov-2,2020-03-29
coronavirus,97,sars-cov-2,2020-03-29
sars-cov-2 covid-19,72,sars-cov-2,2020-03-29
covid-19,69,sars-cov-2,2020-03-29
covid,53,sars-cov-2,2020-03-29
sars-cov-2 virus,41,sars-cov-2,2020-03-29
sars-cov-2 covid 19,38,sars-cov-2,2020-03-29
covid 19,37,sars-cov-2,2020-03-29
sars,35,sars-cov-2,2020-03-29
corona,29,sars-cov-2,2020-03-29
corona virus,15,sars-cov-2,2020-03-29
covid19,13,sars-cov-2,2020-03-29
sars-cov-2 vs covid-19,13,sars-cov-2,2020-03-29
what is sars-cov-2,11,sars-cov-2,2020-03-29
who,10,sars-cov-2,2020-03-29
sars cov 2,8,sars-cov-2,2020-03-29
sars-cov-2 wiki,7,sars-cov-2,2020-03-29
sars-cov-2 transmission,5,sars-cov-2,2020-03-29
koronawirus,5,sars-cov-2,2020-03-29
koronavirus,3,sars-cov-2,2020-03-29
the proximal origin of sars-cov-2,3,sars-cov-2,2020-03-29
sars-cov-2 vs cod-19,3,sars-cov-2,2020-03-29
pubmed,2,sars-cov-2,2020-03-29
sars-cov-2 or covid-19,2,sars-cov-2,2020-03-29
on the origin and continuing evolution of sars-cov-2,2,sars-cov-2,2020-03-29
coronavirus,100,covid-19 pandemic,2020-03-29
covid-19 coronavirus pandemic,95,covid-19 pandemic,2020-03-29
coronavirus pandemic,93,covid-19 pandemic,2020-03-29
who,42,covid-19 pandemic,2020-03-29
is covid-19 a pandemic,42,covid-19 pandemic,2020-03-29
who pandemic,38,covid-19 pandemic,2020-03-29
covid 19,30,covid-19 pandemic,2020-03-29
pandemic meaning,18,covid-19 pandemic,2020-03-29
what is a pandemic,16,covid-19 pandemic,2020-03-29
pandemic definition,15,covid-19 pandemic,2020-03-29
epidemic vs pandemic,14,covid-19 pandemic,2020-03-29
covid-19 pandemic plan,10,covid-19 pandemic,2020-03-29
pandemic vs endemic,8,covid-19 pandemic,2020-03-29
covid-19 symptoms,8,covid-19 pandemic,2020-03-29
who declared covid-19 pandemic,6,covid-19 pandemic,2020-03-29
coronavirus pandemic covid-19 live world map/count,6,covid-19 pandemic,2020-03-29
world health organization pandemic,6,covid-19 pandemic,2020-03-29
coronavirus update,5,covid-19 pandemic,2020-03-29
covid-19 pandemic unemployment payment,4,covid-19 pandemic,2020-03-29
coronavirus update,100,coronavirus,2020-03-29
corona,94,coronavirus,2020-03-29
symptoms,84,coronavirus,2020-03-29
coronavirus symptoms,82,coronavirus,2020-03-29
news coronavirus,71,coronavirus,2020-03-29
coronavirus cases,67,coronavirus,2020-03-29
uk coronavirus,53,coronavirus,2020-03-29
corona virus,50,coronavirus,2020-03-29
coronavirus map,42,coronavirus,2020-03-29
coronavirus china,40,coronavirus,2020-03-29
coronavirus italia,38,coronavirus,2020-03-29
italia coronavirus,38,coronavirus,2020-03-29
india coronavirus,37,coronavirus,2020-03-29
coronavirus france,34,coronavirus,2020-03-29
coronavirus sintomas,31,coronavirus,2020-03-29
italy,29,coronavirus,2020-03-29
coronavirus us,29,coronavirus,2020-03-29
coronavirus italy,28,coronavirus,2020-03-29
coronavirus usa,28,coronavirus,2020-03-29
symptoms of coronavirus,26,coronavirus,2020-03-29
coronavirus españa,26,coronavirus,2020-03-29
coronavirus live,25,coronavirus,2020-03-29
coronavirus tips,21,coronavirus,2020-03-29
coronavirus in india,20,coronavirus,2020-03-29
what is coronavirus,19,coronavirus,2020-03-29
coronavirus covid-19,100,covid-19,2020-03-29
coronavirus,100,covid-19,2020-03-29
covid,58,covid-19,2020-03-29
covid-19 cases,49,covid-19,2020-03-29
covid 19,40,covid-19,2020-03-29
virus covid-19,36,covid-19,2020-03-29
corona,34,covid-19,2020-03-29
covid-19 map,24,covid-19,2020-03-29
covid-19 symptoms,23,covid-19,2020-03-29
covid-19 news,22,covid-19,2020-03-29
covid-19 updates,20,covid-19,2020-03-29
covid-19 update,18,covid-19,2020-03-29
covid-19 live,17,covid-19,2020-03-29
corona virus,17,covid-19,2020-03-29
who,16,covid-19,2020-03-29
covid-19 us,15,covid-19,2020-03-29
what is covid-19,15,covid-19,2020-03-29
canada covid-19,15,covid-19,2020-03-29
covid-19 who,15,covid-19,2020-03-29
covid-19 cdc,12,covid-19,2020-03-29
cdc,12,covid-19,2020-03-29
covid-19 test,11,covid-19,2020-03-29
italy covid-19,11,covid-19,2020-03-29
italy,10,covid-19,2020-03-29
covid-19 usa,10,covid-19,2020-03-29
covid,100,covid19,2020-03-29
covid 19,88,covid19,2020-03-29
coronavirus,61,covid19,2020-03-29
coronavirus covid19,61,covid19,2020-03-29
covid19 cases,33,covid19,2020-03-29
corona,25,covid19,2020-03-29
virus covid19,25,covid19,2020-03-29
covid19 news,17,covid19,2020-03-29
covid19 symptoms,16,covid19,2020-03-29
covid19 update,15,covid19,2020-03-29
map covid19,14,covid19,2020-03-29
corona virus covid19,14,covid19,2020-03-29
corona virus,14,covid19,2020-03-29
who,12,covid19,2020-03-29
covid19 us,11,covid19,2020-03-29
what is covid19,11,covid19,2020-03-29
who covid19,11,covid19,2020-03-29
canada covid19,11,covid19,2020-03-29
covid19 italy,10,covid19,2020-03-29
italy,10,covid19,2020-03-29
test covid19,10,covid19,2020-03-29
covid19 china,10,covid19,2020-03-29
covid19 uk,9,covid19,2020-03-29
covid-19,9,covid19,2020-03-29
covid19 usa,8,covid19,2020-03-29
coronavirus sars-cov-2,100,sars-cov-2,2020-03-29
coronavirus,97,sars-cov-2,2020-03-29
sars-cov-2 covid-19,72,sars-cov-2,2020-03-29
covid-19,69,sars-cov-2,2020-03-29
covid,53,sars-cov-2,2020-03-29
sars-cov-2 virus,41,sars-cov-2,2020-03-29
sars-cov-2 covid 19,38,sars-cov-2,2020-03-29
covid 19,37,sars-cov-2,2020-03-29
sars,35,sars-cov-2,2020-03-29
corona,29,sars-cov-2,2020-03-29
corona virus,15,sars-cov-2,2020-03-29
covid19,13,sars-cov-2,2020-03-29
sars-cov-2 vs covid-19,13,sars-cov-2,2020-03-29
what is sars-cov-2,11,sars-cov-2,2020-03-29
who,10,sars-cov-2,2020-03-29
sars cov 2,8,sars-cov-2,2020-03-29
sars-cov-2 wiki,7,sars-cov-2,2020-03-29
sars-cov-2 transmission,5,sars-cov-2,2020-03-29
koronawirus,5,sars-cov-2,2020-03-29
koronavirus,3,sars-cov-2,2020-03-29
the proximal origin of sars-cov-2,3,sars-cov-2,2020-03-29
sars-cov-2 vs cod-19,3,sars-cov-2,2020-03-29
pubmed,2,sars-cov-2,2020-03-29
sars-cov-2 or covid-19,2,sars-cov-2,2020-03-29
on the origin and continuing evolution of sars-cov-2,2,sars-cov-2,2020-03-29
coronavirus,100,covid-19 pandemic,2020-03-29
covid-19 coronavirus pandemic,95,covid-19 pandemic,2020-03-29
coronavirus pandemic,93,covid-19 pandemic,2020-03-29
who,42,covid-19 pandemic,2020-03-29
is covid-19 a pandemic,42,covid-19 pandemic,2020-03-29
who pandemic,38,covid-19 pandemic,2020-03-29
covid 19,30,covid-19 pandemic,2020-03-29
pandemic meaning,18,covid-19 pandemic,2020-03-29
what is a pandemic,16,covid-19 pandemic,2020-03-29
pandemic definition,15,covid-19 pandemic,2020-03-29
epidemic vs pandemic,14,covid-19 pandemic,2020-03-29
covid-19 pandemic plan,10,covid-19 pandemic,2020-03-29
pandemic vs endemic,8,covid-19 pandemic,2020-03-29
covid-19 symptoms,8,covid-19 pandemic,2020-03-29
who declared covid-19 pandemic,6,covid-19 pandemic,2020-03-29
coronavirus pandemic covid-19 live world map/count,6,covid-19 pandemic,2020-03-29
world health organization pandemic,6,covid-19 pandemic,2020-03-29
coronavirus update,5,covid-19 pandemic,2020-03-29
covid-19 pandemic unemployment payment,4,covid-19 pandemic,2020-03-29
